Comment,Designator,Footprint,LCSC
1k,"R1,R2,R5",R_0402_1005Metric,C11702
SM04B,J1,Molex_Pico-EZmate_78171-0004_1x04-1MP_P1.20mm_Vertical,C145956
.1u,"C11,C12,C13,C14,C15,C16,C17,C3,C7,C8",C_0402_1005Metric,C1525
10u,C9,C_0402_1005Metric,C15525
22pF,"C1,C2",C_0402_1005Metric,C1555
RP2040,U2,RP2040-QFN-56,C2040
27,"R3,R4",R_0402_1005Metric,C208978
Boot,"SW68,SW69",SW_SPST_TL3342,C318884
MX_SW_HS,"SW1,SW10,SW11,SW12,SW13,SW14,SW15,SW16,SW17,SW18,SW19,SW2,SW20,SW21,SW22,SW23,SW24,SW25,SW26,SW27,SW28,SW29,SW3,SW30,SW31,SW32,SW33,SW34,SW35,SW36,SW37,SW38,SW39,SW4,SW40,SW41,SW42,SW43,SW44,SW45,SW46,SW47,SW48,SW49,SW5,SW50,SW51,SW52,SW53,SW54,SW55,SW56,SW57,SW58,SW59,SW6,SW60,SW61,SW62,SW63,SW64,SW65,SW66,SW67,SW7,SW8,SW9",SW_MX_HS_1u,C5156480
1u,"C10,C4,C5,C6",C_0402_1005Metric,C52923
XC6206PxxxMR,U3,SOT-23,C5446
D_Small,"D1,D10,D11,D12,D13,D14,D15,D17,D18,D19,D2,D20,D21,D22,D23,D24,D25,D26,D27,D28,D29,D3,D30,D32,D33,D34,D35,D36,D37,D38,D39,D4,D40,D41,D42,D43,D44,D45,D46,D47,D48,D49,D5,D50,D51,D52,D53,D54,D55,D57,D58,D59,D6,D60,D61,D62,D63,D64,D65,D66,D67,D7,D8,D9",D_SOD-123,C64898
12MHz,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C9002
W25Q128JVS,U1,SOIC-8_5.23x5.23mm_P1.27mm,C97521
