Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22pF,C_0402_1005Metric,31.38,-50.0675,270.0,bottom
C2,22pF,C_0402_1005Metric,25.35,-48.1175,180.0,bottom
C3,.1u,C_0402_1005Metric,45.51,-29.3275,180.0,bottom
C4,1u,C_0402_1005Metric,19.64,-13.7775,180.0,bottom
C5,1u,C_0402_1005Metric,22.64,-33.4875,90.0,bottom
C6,1u,C_0402_1005Metric,23.72,-32.4575,90.0,bottom
C7,.1u,C_0402_1005Metric,28.1,-30.8275,90.0,bottom
C8,.1u,C_0402_1005Metric,25.19,-46.5975,270.0,bottom
C9,10u,C_0402_1005Metric,18.7,-19.9475,180.0,bottom
C10,1u,C_0402_1005Metric,18.7,-18.8775,180.0,bottom
C11,.1u,C_0402_1005Metric,31.41,-35.8275,90.0,bottom
C12,.1u,C_0402_1005Metric,26.99,-30.8275,90.0,bottom
C13,.1u,C_0402_1005Metric,20.65,-36.3075,0.0,bottom
C14,.1u,C_0402_1005Metric,20.65,-35.2375,0.0,bottom
C15,.1u,C_0402_1005Metric,21.63,-39.5775,90.0,bottom
C16,.1u,C_0402_1005Metric,33.21,-41.4575,180.0,bottom
C17,.1u,C_0402_1005Metric,26.28,-46.6075,270.0,bottom
D1,D_Small,D_SOD-123,12.63,-10.4075,90.0,bottom
D2,D_Small,D_SOD-123,31.68,-10.4075,90.0,bottom
D3,D_Small,D_SOD-123,50.73,-10.4075,90.0,bottom
D4,D_Small,D_SOD-123,69.78,-10.4075,90.0,bottom
D5,D_Small,D_SOD-123,88.83,-10.4075,90.0,bottom
D6,D_Small,D_SOD-123,107.88,-10.4075,90.0,bottom
D7,D_Small,D_SOD-123,126.93,-10.4075,90.0,bottom
D8,D_Small,D_SOD-123,145.98,-10.4075,90.0,bottom
D9,D_Small,D_SOD-123,165.03,-10.4075,90.0,bottom
D10,D_Small,D_SOD-123,184.08,-10.4075,90.0,bottom
D11,D_Small,D_SOD-123,203.13,-10.4075,90.0,bottom
D12,D_Small,D_SOD-123,222.18,-10.4075,90.0,bottom
D13,D_Small,D_SOD-123,241.23,-10.4075,90.0,bottom
D14,D_Small,D_SOD-123,265.1125,-16.66875,90.0,bottom
D15,D_Small,D_SOD-123,267.49375,-16.66875,90.0,bottom
D17,D_Small,D_SOD-123,17.3925,-29.4575,90.0,bottom
D18,D_Small,D_SOD-123,41.205,-29.4575,90.0,bottom
D19,D_Small,D_SOD-123,60.255,-29.4575,90.0,bottom
D20,D_Small,D_SOD-123,79.305,-29.4575,90.0,bottom
D21,D_Small,D_SOD-123,98.355,-29.4575,90.0,bottom
D22,D_Small,D_SOD-123,117.405,-29.4575,90.0,bottom
D23,D_Small,D_SOD-123,136.455,-29.4575,90.0,bottom
D24,D_Small,D_SOD-123,155.505,-29.4575,90.0,bottom
D25,D_Small,D_SOD-123,174.555,-29.4575,90.0,bottom
D26,D_Small,D_SOD-123,193.605,-29.4575,90.0,bottom
D27,D_Small,D_SOD-123,212.655,-29.4575,90.0,bottom
D28,D_Small,D_SOD-123,231.705,-29.4575,90.0,bottom
D29,D_Small,D_SOD-123,250.755,-29.4575,90.0,bottom
D30,D_Small,D_SOD-123,274.5675,-29.4575,90.0,bottom
D32,D_Small,D_SOD-123,24.60625,-54.76875,90.0,bottom
D33,D_Small,D_SOD-123,45.9675,-48.5075,90.0,bottom
D34,D_Small,D_SOD-123,65.0175,-48.5075,90.0,bottom
D35,D_Small,D_SOD-123,84.0675,-48.5075,90.0,bottom
D36,D_Small,D_SOD-123,103.1175,-48.5075,90.0,bottom
D37,D_Small,D_SOD-123,122.1675,-48.5075,90.0,bottom
D38,D_Small,D_SOD-123,141.2175,-48.5075,90.0,bottom
D39,D_Small,D_SOD-123,160.2675,-48.5075,90.0,bottom
D40,D_Small,D_SOD-123,179.3175,-48.5075,90.0,bottom
D41,D_Small,D_SOD-123,198.3675,-48.5075,90.0,bottom
D42,D_Small,D_SOD-123,217.4175,-48.5075,90.0,bottom
D43,D_Small,D_SOD-123,236.4675,-48.5075,90.0,bottom
D44,D_Small,D_SOD-123,267.42375,-48.5075,90.0,bottom
D45,D_Small,D_SOD-123,24.53625,-67.5575,90.0,bottom
D46,D_Small,D_SOD-123,55.4925,-67.5575,90.0,bottom
D47,D_Small,D_SOD-123,74.5425,-67.5575,90.0,bottom
D48,D_Small,D_SOD-123,93.5925,-67.5575,90.0,bottom
D49,D_Small,D_SOD-123,112.6425,-67.5575,90.0,bottom
D50,D_Small,D_SOD-123,131.6925,-67.5575,90.0,bottom
D51,D_Small,D_SOD-123,150.7425,-67.5575,90.0,bottom
D52,D_Small,D_SOD-123,169.7925,-67.5575,90.0,bottom
D53,D_Small,D_SOD-123,188.8425,-67.5575,90.0,bottom
D54,D_Small,D_SOD-123,207.8925,-67.5575,90.0,bottom
D55,D_Small,D_SOD-123,226.9425,-67.5575,90.0,bottom
D57,D_Small,D_SOD-123,239.7125,-67.5575,90.0,bottom
D58,D_Small,D_SOD-123,266.7,-74.255,90.0,bottom
D59,D_Small,D_SOD-123,17.3925,-86.6075,90.0,bottom
D60,D_Small,D_SOD-123,41.205,-86.6075,90.0,bottom
D61,D_Small,D_SOD-123,65.0175,-86.6075,90.0,bottom
D62,D_Small,D_SOD-123,107.88,-86.6075,90.0,bottom
D63,D_Small,D_SOD-123,145.98,-86.6075,90.0,bottom
D64,D_Small,D_SOD-123,184.08,-86.6075,90.0,bottom
D65,D_Small,D_SOD-123,226.9425,-86.6075,90.0,bottom
D66,D_Small,D_SOD-123,250.755,-86.6075,90.0,bottom
D67,D_Small,D_SOD-123,274.5675,-86.6075,90.0,bottom
J1,SM04B,Molex_Pico-EZmate_78171-0004_1x04-1MP_P1.20mm_Vertical,26.31,-20.5675,270.0,bottom
R1,1k,R_0402_1005Metric,23.56,-45.2075,0.0,bottom
R2,1k,R_0402_1005Metric,27.39,-46.8675,90.0,bottom
R3,27,R_0402_1005Metric,25.89,-31.0675,270.0,bottom
R4,27,R_0402_1005Metric,24.79,-31.0675,270.0,bottom
R5,1k,R_0402_1005Metric,48.42,-29.3175,180.0,bottom
SW1,MX_SW_HS,SW_MX_HS_1u,9.525,-9.525,0.0,bottom
SW2,MX_SW_HS,SW_MX_HS_1u,28.575,-9.525,0.0,bottom
SW3,MX_SW_HS,SW_MX_HS_1u,47.625,-9.525,0.0,bottom
SW4,MX_SW_HS,SW_MX_HS_1u,66.675,-9.525,0.0,bottom
SW5,MX_SW_HS,SW_MX_HS_1u,85.725,-9.525,0.0,bottom
SW6,MX_SW_HS,SW_MX_HS_1u,104.775,-9.525,0.0,bottom
SW7,MX_SW_HS,SW_MX_HS_1u,123.825,-9.525,0.0,bottom
SW8,MX_SW_HS,SW_MX_HS_1u,142.875,-9.525,0.0,bottom
SW9,MX_SW_HS,SW_MX_HS_1u,161.925,-9.525,0.0,bottom
SW10,MX_SW_HS,SW_MX_HS_1u,180.975,-9.525,0.0,bottom
SW11,MX_SW_HS,SW_MX_HS_1u,200.025,-9.525,0.0,bottom
SW12,MX_SW_HS,SW_MX_HS_1u,219.075,-9.525,0.0,bottom
SW13,MX_SW_HS,SW_MX_HS_1u,238.125,-9.525,0.0,bottom
SW14,MX_SW_HS,SW_MX_HS_1u,257.175,-9.525,180.0,bottom
SW15,MX_SW_HS,SW_MX_HS_1u,266.7,-9.525,0.0,bottom
SW16,MX_SW_HS,SW_MX_HS_1u,276.225,-9.525,180.0,bottom
SW17,MX_SW_HS,SW_MX_HS_1u,14.2875,-28.575,0.0,bottom
SW18,MX_SW_HS,SW_MX_HS_1u,38.1,-28.575,0.0,bottom
SW19,MX_SW_HS,SW_MX_HS_1u,57.15,-28.575,0.0,bottom
SW20,MX_SW_HS,SW_MX_HS_1u,76.2,-28.575,0.0,bottom
SW21,MX_SW_HS,SW_MX_HS_1u,95.25,-28.575,0.0,bottom
SW22,MX_SW_HS,SW_MX_HS_1u,114.3,-28.575,0.0,bottom
SW23,MX_SW_HS,SW_MX_HS_1u,133.35,-28.575,0.0,bottom
SW24,MX_SW_HS,SW_MX_HS_1u,152.4,-28.575,0.0,bottom
SW25,MX_SW_HS,SW_MX_HS_1u,171.45,-28.575,0.0,bottom
SW26,MX_SW_HS,SW_MX_HS_1u,190.5,-28.575,0.0,bottom
SW27,MX_SW_HS,SW_MX_HS_1u,209.55,-28.575,0.0,bottom
SW28,MX_SW_HS,SW_MX_HS_1u,228.6,-28.575,0.0,bottom
SW29,MX_SW_HS,SW_MX_HS_1u,247.65,-28.575,0.0,bottom
SW30,MX_SW_HS,SW_MX_HS_1u,271.4625,-28.575,0.0,bottom
SW31,MX_SW_HS,SW_MX_HS_1u,11.90625,-47.625,0.0,bottom
SW32,MX_SW_HS,SW_MX_HS_1u,16.66875,-47.625,180.0,bottom
SW33,MX_SW_HS,SW_MX_HS_1u,42.8625,-47.625,0.0,bottom
SW34,MX_SW_HS,SW_MX_HS_1u,61.9125,-47.625,0.0,bottom
SW35,MX_SW_HS,SW_MX_HS_1u,80.9625,-47.625,0.0,bottom
SW36,MX_SW_HS,SW_MX_HS_1u,100.0125,-47.625,0.0,bottom
SW37,MX_SW_HS,SW_MX_HS_1u,119.0625,-47.625,0.0,bottom
SW38,MX_SW_HS,SW_MX_HS_1u,138.1125,-47.625,0.0,bottom
SW39,MX_SW_HS,SW_MX_HS_1u,157.1625,-47.625,0.0,bottom
SW40,MX_SW_HS,SW_MX_HS_1u,176.2125,-47.625,0.0,bottom
SW41,MX_SW_HS,SW_MX_HS_1u,195.2625,-47.625,0.0,bottom
SW42,MX_SW_HS,SW_MX_HS_1u,214.3125,-47.625,0.0,bottom
SW43,MX_SW_HS,SW_MX_HS_1u,233.3625,-47.625,0.0,bottom
SW44,MX_SW_HS,SW_MX_HS_1u,264.31875,-47.625,0.0,bottom
SW45,MX_SW_HS,SW_MX_HS_1u,21.43125,-66.675,0.0,bottom
SW46,MX_SW_HS,SW_MX_HS_1u,52.3875,-66.675,0.0,bottom
SW47,MX_SW_HS,SW_MX_HS_1u,71.4375,-66.675,0.0,bottom
SW48,MX_SW_HS,SW_MX_HS_1u,90.4875,-66.675,0.0,bottom
SW49,MX_SW_HS,SW_MX_HS_1u,109.5375,-66.675,0.0,bottom
SW50,MX_SW_HS,SW_MX_HS_1u,128.5875,-66.675,0.0,bottom
SW51,MX_SW_HS,SW_MX_HS_1u,147.6375,-66.675,0.0,bottom
SW52,MX_SW_HS,SW_MX_HS_1u,166.6875,-66.675,0.0,bottom
SW53,MX_SW_HS,SW_MX_HS_1u,185.7375,-66.675,0.0,bottom
SW54,MX_SW_HS,SW_MX_HS_1u,204.7875,-66.675,0.0,bottom
SW55,MX_SW_HS,SW_MX_HS_1u,223.8375,-66.675,0.0,bottom
SW56,MX_SW_HS,SW_MX_HS_1u,250.03125,-66.675,180.0,bottom
SW57,MX_SW_HS,SW_MX_HS_1u,259.55625,-66.675,0.0,bottom
SW58,MX_SW_HS,SW_MX_HS_1u,276.225,-66.675,180.0,bottom
SW59,MX_SW_HS,SW_MX_HS_1u,14.2875,-85.725,0.0,bottom
SW60,MX_SW_HS,SW_MX_HS_1u,38.1,-85.725,0.0,bottom
SW61,MX_SW_HS,SW_MX_HS_1u,61.9125,-85.725,0.0,bottom
